year,totalCitations,case,pubYear
1998,98,baumeister,1998
1999,482,baumeister,1999
2000,975,baumeister,2000
2001,1223,baumeister,2001
2002,1312,baumeister,2002
2003,1438,baumeister,2003
2004,1545,baumeister,2004
2005,1751,baumeister,2005
2006,2052,baumeister,2006
2007,2343,baumeister,2007
2008,2727,baumeister,2008
2009,2726,baumeister,2009
2010,3012,baumeister,2010
2011,3087,baumeister,2011
2012,3009,baumeister,2012
2013,3206,baumeister,2013
2014,3296,baumeister,2014
2015,3334,baumeister,2015
2016,3348,baumeister,2016
2017,3381,baumeister,2017
2018,3349,baumeister,2018
2019,3872,baumeister,2019
2014,412,sripada,2014
2015,1386,sripada,2015
2016,1886,sripada,2016
2017,2057,sripada,2017
2018,2190,sripada,2018
2019,2343,sripada,2019
1988,72,strack,1988
1989,442,strack,1989
1990,682,strack,1990
1991,796,strack,1991
1992,872,strack,1992
1993,936,strack,1993
1994,972,strack,1994
1995,1096,strack,1995
1996,1178,strack,1996
1997,1190,strack,1997
1998,1191,strack,1998
1999,1157,strack,1999
2000,1226,strack,2000
2001,1104,strack,2001
2002,1198,strack,2002
2003,1211,strack,2003
2004,1141,strack,2004
2005,1365,strack,2005
2006,1556,strack,2006
2007,1741,strack,2007
2008,1809,strack,2008
2009,2117,strack,2009
2010,2164,strack,2010
2011,2310,strack,2011
2012,2372,strack,2012
2013,2604,strack,2013
2014,2656,strack,2014
2015,2791,strack,2015
2016,2906,strack,2016
2017,2932,strack,2017
2018,2973,strack,2018
2019,3255,strack,2019
2011,179,carter,2011
2012,939,carter,2012
2013,1558,carter,2013
2014,1820,carter,2014
2015,1856,carter,2015
2016,1869,carter,2016
2017,1986,carter,2017
2018,1973,carter,2018
2019,2156,carter,2019
2013,140,caruso,2013
2014,463,caruso,2014
2015,622,caruso,2015
2016,678,caruso,2016
2017,707,caruso,2017
2018,724,caruso,2018
2019,807,caruso,2019
